# Generated=20150327-09:58:27, User=unsj
# Linux keira-ubuntu 3.5.0-17-generic #28-Ubuntu SMP Tue Oct 9 19:31:23 UTC 2012 x86_64 x86_64 x86_64 GNU/Linux
# Machine (5958MB)
#   Socket L#0 + L3 L#0 (12MB)
#     L2 L#0 (256KB) + L1 L#0 (32KB) + Core L#0 + PU L#0 (P#0)
#     L2 L#1 (256KB) + L1 L#1 (32KB) + Core L#1 + PU L#1 (P#2)
#     L2 L#2 (256KB) + L1 L#2 (32KB) + Core L#2 + PU L#2 (P#4)
#     L2 L#3 (256KB) + L1 L#3 (32KB) + Core L#3 + PU L#3 (P#6)
#     L2 L#4 (256KB) + L1 L#4 (32KB) + Core L#4 + PU L#4 (P#8)
#     L2 L#5 (256KB) + L1 L#5 (32KB) + Core L#5 + PU L#5 (P#10)
#   Socket L#1 + L3 L#1 (12MB)
#     L2 L#6 (256KB) + L1 L#6 (32KB) + Core L#6 + PU L#6 (P#1)
#     L2 L#7 (256KB) + L1 L#7 (32KB) + Core L#7 + PU L#7 (P#3)
#     L2 L#8 (256KB) + L1 L#8 (32KB) + Core L#8 + PU L#8 (P#5)
#     L2 L#9 (256KB) + L1 L#9 (32KB) + Core L#9 + PU L#9 (P#7)
#     L2 L#10 (256KB) + L1 L#10 (32KB) + Core L#10 + PU L#10 (P#9)
#     L2 L#11 (256KB) + L1 L#11 (32KB) + Core L#11 + PU L#11 (P#11)
ExperimentNumber,Algorithm,Text,InitialTotalAlloc(B),FinalTotalAllac(B),PeakAlloc(B),InitialCurrentAlloc(B),FinalCurrentAlloc(B)
56,sais,/home/unsj/datasets/english.16MB,16777784,83891764,67112956,16777216,67108860
57,sais,/home/unsj/datasets/proteins.4MB,4194872,20977204,16781308,4194304,16777212
58,sais,/home/unsj/datasets/english.16MB,16777784,83891764,67112956,16777216,67108860
59,sais,/home/unsj/datasets/proteins.4MB,4194872,20977204,16781308,4194304,16777212
60,sais,/home/unsj/datasets/english.16MB,16777784,83891764,67112956,16777216,67108860
61,sais,/home/unsj/datasets/proteins.64MB,67109432,335550004,268439548,67108864,268435452
62,sais,/home/unsj/datasets/english.1MB,1049144,5248564,4198396,1048576,4194300
63,sais,/home/unsj/datasets/proteins.64MB,67109432,335550004,268439548,67108864,268435452
64,sais,/home/unsj/datasets/english.1MB,1049144,5248564,4198396,1048576,4194300
65,sais,/home/unsj/datasets/proteins.64MB,67109432,335550004,268439548,67108864,268435452
66,sais,/home/unsj/datasets/english.1MB,1049144,5248564,4198396,1048576,4194300
67,sais,/home/unsj/datasets/proteins.8MB,8389176,41948724,33558524,8388608,33554428
68,sais,/home/unsj/datasets/english.2MB,2097720,10491444,8392700,2097152,8388604
69,sais,/home/unsj/datasets/proteins.8MB,8389176,41948724,33558524,8388608,33554428
70,sais,/home/unsj/datasets/english.2MB,2097720,10491444,8392700,2097152,8388604
71,sais,/home/unsj/datasets/proteins.8MB,8389176,41948724,33558524,8388608,33554428
72,sais,/home/unsj/datasets/english.2MB,2097720,10491444,8392700,2097152,8388604
